"Zika_gene_id"	"Zika_bnumber"	"Zika_symbol"	"Zika_essentiality"	"Zika_product"	"Zika_start"	"Zika_stop"	"Zika_strand"	"Zika_type"	"Zika_TF"	"Zika_parsed_bnum"
3310	"b3497"	"rsmJ"	NA	"16S rRNA m(2)G1516 methyltransferase"	3642380	3643132	"-"	"CDS"	NA	"b3497"
3311	"b3498"	"prlC"	NA	"oligopeptidase A"	3643140	3645182	"-"	"CDS"	NA	"b3498"
3312	"b3499"	"rlmJ"	NA	"23S rRNA m(6)A2030 methyltransferase"	3645385	3646227	"+"	"CDS"	NA	"b3499"
3313	"b3500"	"gor"	NA	"glutathione reductase (NADPH)"	3646299	3647651	"+"	"CDS"	NA	"b3500"
3314	"b4613"	"dinQ"	NA	"UV inducible membrane toxin DinQ"	3647705	3647788	"-"	"CDS"	NA	"b4613"
3315	"b3502"	"arsB"	NA	"arsenite/antimonite:H(+) antiporter"	3648935	3650224	"+"	"CDS"	NA	"b3502"
3316	"b3503"	"arsC"	NA	"arsenate reductase"	3650237	3650662	"+"	"CDS"	NA	"b3503"
3317	"b3506"	"slp"	NA	"starvation lipoprotein"	3653961	3654527	"+"	"CDS"	NA	"b3506"
3318	"b3508"	"yhiD"	NA	"inner membrane protein YhiD"	3655255	3655902	"-"	"CDS"	NA	"b3508"
3319	"b3509"	"hdeB"	NA	"periplasmic acid stress chaperone"	3655966	3656292	"-"	"CDS"	NA	"b3509"
3320	"b3510"	"hdeA"	NA	"HdeA monomer, chaperone active form"	3656408	3656740	"-"	"CDS"	NA	"b3510"
3321	"b3511"	"hdeD"	NA	"acid-resistance membrane protein"	3656995	3657567	"+"	"CDS"	NA	"b3511"
3322	"b3513"	"mdtE"	NA	"multidrug efflux pump membrane fusion protein MdtE"	3659232	3660389	"+"	"CDS"	NA	"b3513"
3323	"b3514"	"mdtF"	NA	"multidrug efflux pump RND permease MdtF"	3660414	3663527	"+"	"CDS"	NA	"b3514"
3324	"b3517"	"gadA"	NA	"glutamate decarboxylase A"	3666180	3667580	"-"	"CDS"	NA	"b3517"
3325	"b3518"	"yhjA"	NA	"cytochrome c peroxidase"	3667791	3669188	"-"	"CDS"	NA	"b3518"
3326	"b3519"	"treF"	NA	"cytoplasmic trehalase"	3669592	3671241	"+"	"CDS"	NA	"b3519"
3327	"b3522"	"yhjD"	NA	"putative transporter YhjD"	3673362	3674375	"+"	"CDS"	NA	"b3522"
3328	"b3523"	"yhjE"	NA	"putative transporter YhjE"	3674786	3676108	"+"	"CDS"	NA	"b3523"
3329	"b3524"	"yhjG"	NA	"AsmA family protein YhjG"	3676290	3678350	"-"	"CDS"	NA	"b3524"
3330	"b3525"	"yhjH"	NA	"c-di-GMP phosphodiesterase PdeH"	3678420	3679187	"-"	"CDS"	NA	"b3525"
3331	"b3526"	"kdgK"	NA	"2-dehydro-3-deoxygluconokinase"	3679419	3680348	"+"	"CDS"	NA	"b3526"
3332	"b3527"	"yhjJ"	NA	"peptidase M16 family protein"	3680444	3681940	"-"	"CDS"	NA	"b3527"
3333	"b3528"	"dctA"	NA	"C4 dicarboxylate/orotate:H(+) symporter"	3682161	3683447	"-"	"CDS"	NA	"b3528"
3334	"b3529"	"yhjK"	NA	"putative c-di-GMP phosphodiesterase PdeK"	3683630	3685618	"-"	"CDS"	NA	"b3529"
3335	"b3530"	"bcsC"	NA	"cellulose biosynthesis protein BcsC"	3685700	3689173	"-"	"CDS"	NA	"b3530"
3336	"b3531"	"bcsZ"	NA	"endo-1,4-D-glucanase"	3689155	3690261	"-"	"CDS"	NA	"b3531"
3337	"b3532"	"bcsB"	NA	"cellulose synthase periplasmic subunit"	3690268	3692607	"-"	"CDS"	NA	"b3532"
3338	"b3533"	"bcsA"	NA	"cellulose synthase catalytic subunit"	3692618	3695236	"-"	"CDS"	NA	"b3533"
3339	"b3535"	"yhjR"	NA	"PF10945 family protein YhjR"	3695997	3696185	"-"	"CDS"	NA	"b3535"
3340	"b3536"	"bcsE"	NA	"c-di-GMP-binding protein BcsE"	3696458	3698029	"+"	"CDS"	NA	"b3536"
3341	"b3537"	"bcsF"	NA	"putative cellulose biosynthesis protein BcsF"	3698026	3698217	"+"	"CDS"	NA	"b3537"
3342	"b3538"	"bcsG"	NA	"cellulose phosphoethanolamine transferase"	3698214	3699893	"+"	"CDS"	NA	"b3538"
3343	"b4453"	"ldrD"	NA	"small toxic polypeptide LdrD"	3699980	3700087	"-"	"CDS"	NA	"b4453"
3344	"b3539"	"yhjV"	NA	"putative transporter YhjV"	3700563	3701834	"+"	"CDS"	NA	"b3539"
3345	"b3540"	"dppF"	NA	"dipeptide ABC transporter ATP binding subunit DppF"	3701864	3702868	"-"	"CDS"	NA	"b3540"
3346	"b3541"	"dppD"	NA	"dipeptide ABC transporter ATP binding subunit DppD"	3702865	3703848	"-"	"CDS"	NA	"b3541"
3347	"b3542"	"dppC"	NA	"dipeptide ABC transporter membrane subunit DppC"	3703859	3704761	"-"	"CDS"	NA	"b3542"
3348	"b3543"	"dppB"	NA	"dipeptide ABC transporter membrane subunit DppB"	3704771	3705790	"-"	"CDS"	NA	"b3543"
3349	"b3544"	"dppA"	NA	"dipeptide ABC transporter periplasmic binding protein"	3706098	3707705	"-"	"CDS"	NA	"b3544"
3350	"b3546"	"eptB"	NA	"Kdo2-lipid A phosphoethanolamine 7-transferase"	3708784	3710475	"-"	"CDS"	NA	"b3546"
3351	"b3547"	"yhjX"	NA	"putative pyruvate transporter"	3710799	3712007	"-"	"CDS"	NA	"b3547"
3352	"b3548"	"yhjY"	NA	"conserved protein YhjY"	3712236	3712934	"-"	"CDS"	NA	"b3548"
3353	"b3549"	"tag"	NA	"3-methyl-adenine DNA glycosylase I, constitutive"	3713092	3713655	"+"	"CDS"	NA	"b3549"
3354	"b3550"	"yiaC"	NA	"putative acyltransferase with acyl-CoA N-acyltransferase domain"	3713652	3714092	"+"	"CDS"	NA	"b3550"
3355	"b3551"	"bisC"	NA	"biotin sulfoxide reductase"	3714061	3716394	"-"	"CDS"	NA	"b3551"
3356	"b3552"	"yiaD"	NA	"PF13488 family lipoprotein YiaD"	3716547	3717206	"+"	"CDS"	NA	"b3552"
3357	"b3553"	"ghrB"	NA	"glyoxylate reductase"	3717310	3718284	"+"	"CDS"	NA	"b3553"
3358	"b3554"	"yiaF"	NA	"DUF3053 domain-containing protein YiaF"	3718334	3719044	"-"	"CDS"	NA	"b3554"
3359	"b4455"	"hokA"	NA	"small toxic polypeptide"	3720448	3720600	"-"	"CDS"	NA	"b4455"
3360	"b3557"	"insJ"	NA	"insertion element IS150 protein InsA"	3720680	3721201	"+"	"CDS"	NA	"b3557"
3361	"b3558"	"insK"	NA	"IS150 conserved protein InsB"	3721198	3722049	"+"	"CDS"	NA	"b3558"
3362	"b3559"	"glyS"	NA	"glycine--tRNA ligase subunit beta"	3722328	3724397	"-"	"CDS"	NA	"b3559"
3363	"b3560"	"glyQ"	NA	"glycine--tRNA ligase subunit alpha"	3724407	3725318	"-"	"CDS"	NA	"b3560"
3364	"b4553"	"ysaB"	NA	"putative lipoprotein YsaB"	3725413	3725712	"-"	"CDS"	NA	"b4553"
3365	"b3561"	"wecH"	NA	"O-acetyltransferase WecH"	3725887	3726882	"+"	"CDS"	NA	"b3561"
3366	"b3562"	"yiaA"	NA	"conserved inner membrane protein YiaA"	3726924	3727361	"-"	"CDS"	NA	"b3562"
3367	"b3563"	"yiaB"	NA	"conserved inner membrane protein YiaB"	3727407	3727748	"-"	"CDS"	NA	"b3563"
3368	"b3564"	"xylB"	NA	"xylulokinase"	3727917	3729371	"-"	"CDS"	NA	"b3564"
3369	"b3565"	"xylA"	NA	"xylose isomerase"	3729443	3730765	"-"	"CDS"	NA	"b3565"
3370	"b3566"	"xylF"	NA	"xylose ABC transporter periplasmic binding protein"	3731131	3732123	"+"	"CDS"	NA	"b3566"
3371	"b3567"	"xylG"	NA	"xylose ABC transporter ATP binding subunit"	3732201	3733742	"+"	"CDS"	NA	"b3567"
3372	"b3568"	"xylH"	NA	"xylose ABC transporter membrane subunit"	3733720	3734901	"+"	"CDS"	NA	"b3568"
3373	"b3570"	"bax"	NA	"putative glycoside hydrolase Bax"	3736353	3737177	"-"	"CDS"	NA	"b3570"
3374	"b3571"	"malS"	NA	"alpha-amylase"	3737497	3739527	"+"	"CDS"	NA	"b3571"
3375	"b3572"	"avtA"	NA	"valine--pyruvate aminotransferase"	3739705	3740958	"+"	"CDS"	NA	"b3572"
3376	"b3573"	"ysaA"	NA	"putative electron transport protein YsaA"	3741109	3741582	"-"	"CDS"	NA	"b3573"
3377	"b3575"	"yiaK"	NA	"2,3-diketo-L-gulonate reductase"	3742733	3743731	"+"	"CDS"	NA	"b3575"
3378	"b3576"	"yiaL"	NA	"DUF386 domain-containing protein YiaL"	3743743	3744210	"+"	"CDS"	NA	"b3576"
3379	"b3577"	"yiaM"	NA	"2,3-diketo-L-gulonate:Na(+) symporter - membrane subunit"	3744328	3744801	"+"	"CDS"	NA	"b3577"
3380	"b3578"	"yiaN"	NA	"2,3-diketo-L-gulonate:Na(+) symporter - membrane subunit"	3744804	3746081	"+"	"CDS"	NA	"b3578"
3381	"b3579"	"yiaO"	NA	"2,3-diketo-L-gulonate:Na(+) symporter - periplasmic binding protein"	3746094	3747080	"+"	"CDS"	NA	"b3579"
3382	"b3580"	"lyxK"	NA	"L-xylulose kinase"	3747084	3748580	"+"	"CDS"	NA	"b3580"
3383	"b3581"	"sgbH"	NA	"3-keto-L-gulonate-6-phosphate decarboxylase SgbH"	3748577	3749239	"+"	"CDS"	NA	"b3581"
3384	"b3582"	"sgbU"	NA	"putative L-xylulose 5-phosphate 3-epimerase"	3749232	3750092	"+"	"CDS"	NA	"b3582"
3385	"b3583"	"sgbE"	NA	"L-ribulose-5-phosphate 4-epimerase SgbE"	3750086	3750781	"+"	"CDS"	NA	"b3583"
3386	"b3584"	"yiaT"	NA	"outer membrane protein YiaT"	3751128	3751868	"-"	"CDS"	NA	"b3584"
3387	"b3586"	"yiaV"	NA	"putative membrane fusion protein"	3752963	3754099	"-"	"CDS"	NA	"b3586"
3388	"b3587"	"yiaW"	NA	"DUF3302 domain-containing protein YiaW"	3754105	3754428	"-"	"CDS"	NA	"b3587"
3389	"b3588"	"aldB"	NA	"aldehyde dehydrogenase B"	3754973	3756511	"-"	"CDS"	NA	"b3588"
3390	"b3589"	"yiaY"	NA	"L-threonine dehydrogenase"	3756676	3757827	"-"	"CDS"	NA	"b3589"
3391	"b3590"	"selB"	NA	"selenocysteyl-tRNA-specific translation elongation factor"	3758017	3759861	"-"	"CDS"	NA	"b3590"
3392	"b3591"	"selA"	NA	"selenocysteine synthase"	3759858	3761249	"-"	"CDS"	NA	"b3591"
3393	"b3592"	"yibF"	NA	"glutathione transferase-like protein YibF"	3761347	3761955	"-"	"CDS"	NA	"b3592"
3394	"b3593"	"rhsA"	NA	"rhs element protein RhsA"	3762183	3766316	"+"	"CDS"	NA	"b3593"
3395	"b3594"	"yibA"	NA	"putative lyase containing HEAT-repeat"	3766337	3767179	"+"	"CDS"	NA	"b3594"
3396	"b3596"	"yibG"	NA	"tetratricopeptide-like domain-containing protein YibG"	3768177	3768638	"+"	"CDS"	NA	"b3596"
3397	"b3597"	"yibH"	NA	"inner membrane protein YibH"	3770243	3771379	"-"	"CDS"	NA	"b3597"
3398	"b3598"	"yibI"	NA	"DUF3302 domain-containing protein YibI"	3771382	3771744	"-"	"CDS"	NA	"b3598"
3399	"b3599"	"mtlA"	NA	"mannitol-specific PTS enzyme IICBA component"	3772281	3774194	"+"	"CDS"	NA	"b3599"
3400	"b3600"	"mtlD"	NA	"mannitol-1-phosphate 5-dehydrogenase"	3774424	3775572	"+"	"CDS"	NA	"b3600"
3401	"b4554"	"yibT"	NA	"protein YibT"	3776171	3776380	"-"	"CDS"	NA	"b4554"
3402	"b3602"	"yibL"	NA	"DUF2810 domain-containing protein YibL"	3776665	3777027	"+"	"CDS"	NA	"b3602"
3403	"b3603"	"lldP"	NA	"lactate/glycolate:H(+) symporter LldP"	3777399	3779054	"+"	"CDS"	NA	"b3603"
3404	"b3605"	"lldD"	NA	"L-lactate dehydrogenase"	3779827	3781017	"+"	"CDS"	NA	"b3605"
3405	"b3606"	"trmL"	NA	"tRNA (cytidine/uridine-2-O)-ribose methyltransferase"	3781215	3781688	"+"	"CDS"	NA	"b3606"
3406	"b3607"	"cysE"	NA	"serine acetyltransferase"	3781741	3782562	"-"	"CDS"	NA	"b3607"
3407	"b3608"	"gpsA"	NA	"glycerol-3-phosphate dehydrogenase"	3782642	3783661	"-"	"CDS"	NA	"b3608"
3408	"b3609"	"secB"	NA	"SecB chaperone"	3783661	3784128	"-"	"CDS"	NA	"b3609"
3409	"b3610"	"grxC"	NA	"glutaredoxin 3"	3784191	3784442	"-"	"CDS"	NA	"b3610"
3410	"b3611"	"yibN"	NA	"putative sulfurtransferase YibN"	3784584	3785015	"-"	"CDS"	NA	"b3611"
3411	"b3612"	"gpmM"	NA	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase"	3785260	3786804	"+"	"CDS"	NA	"b3612"
3412	"b3613"	"envC"	NA	"murein hydrolase activator EnvC"	3786838	3788097	"+"	"CDS"	NA	"b3613"
3413	"b3614"	"yibQ"	NA	"divergent polysaccharide deacetylase domain-containing protein YibQ"	3788101	3789060	"+"	"CDS"	NA	"b3614"
3414	"b3615"	"waaH"	NA	"UDP-glucuronate:LPS(HepIII) glycosyltransferase"	3789047	3790081	"-"	"CDS"	NA	"b3615"
3415	"b3616"	"tdh"	NA	"threonine dehydrogenase"	3790320	3791345	"-"	"CDS"	NA	"b3616"
3416	"b3617"	"kbl"	NA	"2-amino-3-ketobutyrate CoA ligase"	3791355	3792551	"-"	"CDS"	NA	"b3617"
3417	"b3618"	"yibB"	NA	"protein HtrL"	3792826	3793683	"-"	"CDS"	NA	"b3618"
3418	"b3619"	"hldD"	NA	"ADP-L-glycero-D-mannoheptose 6-epimerase"	3793987	3794919	"+"	"CDS"	NA	"b3619"
3419	"b3620"	"waaF"	NA	"ADP-heptose--LPS heptosyltransferase 2"	3794929	3795975	"+"	"CDS"	NA	"b3620"
3420	"b3621"	"waaC"	NA	"ADP-heptose:LPS heptosyltransferase 1"	3795979	3796938	"+"	"CDS"	NA	"b3621"
3421	"b3622"	"waaL"	NA	"O-antigen ligase"	3796948	3798207	"+"	"CDS"	NA	"b3622"
3422	"b3623"	"waaU"	NA	"putative ADP-heptose:LPS heptosyltransferase 4"	3798239	3799312	"-"	"CDS"	NA	"b3623"
3423	"b3624"	"waaZ"	NA	"lipopolysaccharide core biosynthesis protein WaaZ"	3799345	3800196	"-"	"CDS"	NA	"b3624"
3424	"b3625"	"waaY"	NA	"lipopolysaccharide core heptose (II) kinase"	3800267	3800965	"-"	"CDS"	NA	"b3625"
3425	"b3626"	"waaR"	NA	"UDP-glucose:(glucosyl)LPS alpha-1,2-glucosyltransferase"	3800983	3801999	"-"	"CDS"	NA	"b3626"
3426	"b3627"	"waaO"	NA	"UDP-D-glucose:(glucosyl)LPS alpha-1,3-glucosyltransferase"	3802039	3803058	"-"	"CDS"	NA	"b3627"
3427	"b3628"	"waaB"	NA	"UDP-D-galactose:(glucosyl)lipopolysaccharide-1, 6-D-galactosyltransferase"	3803058	3804137	"-"	"CDS"	NA	"b3628"
3428	"b3629"	"waaS"	NA	"lipopolysaccharide core biosynthesis protein"	3804181	3805116	"-"	"CDS"	NA	"b3629"
3429	"b3630"	"waaP"	NA	"lipopolysaccharide core heptose (I) kinase"	3805153	3805950	"-"	"CDS"	NA	"b3630"
3430	"b3631"	"waaG"	NA	"lipopolysaccharide glucosyltransferase I"	3805943	3807067	"-"	"CDS"	NA	"b3631"
3431	"b3632"	"waaQ"	NA	"lipopolysaccharide core heptosyltransferase 3"	3807064	3808098	"-"	"CDS"	NA	"b3632"
3432	"b3633"	"waaA"	NA	"KDO transferase"	3808540	3809817	"+"	"CDS"	NA	"b3633"
3433	"b3634"	"coaD"	NA	"pantetheine-phosphate adenylyltransferase"	3809825	3810304	"+"	"CDS"	NA	"b3634"
3434	"b3635"	"mutM"	NA	"DNA-formamidopyrimidine glycosylase"	3810343	3811152	"-"	"CDS"	NA	"b3635"
3435	"b3636"	"rpmG"	NA	"50S ribosomal subunit protein L33"	3811250	3811417	"-"	"CDS"	NA	"b3636"
3436	"b3637"	"rpmB"	NA	"50S ribosomal subunit protein L28"	3811438	3811674	"-"	"CDS"	NA	"b3637"
3437	"b3638"	"yicR"	NA	"RadC-like JAB domain-containing protein YicR"	3811891	3812559	"-"	"CDS"	NA	"b3638"
3438	"b3639"	"dfp"	NA	"fused 4-phosphopantothenoylcysteine decarboxylase and phosphopantothenoylcysteine synthetase"	3812731	3813951	"+"	"CDS"	NA	"b3639"
3439	"b3640"	"dut"	NA	"deoxyuridine triphosphatase"	3813929	3814387	"+"	"CDS"	NA	"b3640"
3440	"b3642"	"pyrE"	NA	"orotate phosphoribosyltransferase"	3815127	3815768	"-"	"CDS"	NA	"b3642"
3441	"b3644"	"yicC"	NA	"UPF0701 family protein YicC"	3816676	3817539	"+"	"CDS"	NA	"b3644"
3442	"b3645"	"dinD"	NA	"DNA damage-inducible protein D"	3817760	3818584	"+"	"CDS"	NA	"b3645"
3443	"b3646"	"yicG"	NA	"conserved inner membrane protein YicG"	3818874	3819491	"+"	"CDS"	NA	"b3646"
3444	"b3647"	"ligB"	NA	"DNA ligase B"	3819488	3821170	"-"	"CDS"	NA	"b3647"
3445	"b3648"	"gmk"	NA	"guanylate kinase"	3821428	3822051	"+"	"CDS"	NA	"b3648"
3446	"b3649"	"rpoZ"	NA	"RNA polymerase subunit omega"	3822106	3822381	"+"	"CDS"	NA	"b3649"
3447	"b3650"	"spoT"	NA	"bifunctional (p)ppGpp synthase/hydrolase SpoT"	3822400	3824508	"+"	"CDS"	NA	"b3650"
3448	"b3651"	"trmH"	NA	"tRNA (Gm18) 2-O-methyltransferase"	3824515	3825204	"+"	"CDS"	NA	"b3651"
3449	"b3652"	"recG"	NA	"ATP-dependent DNA helicase RecG"	3825210	3827291	"+"	"CDS"	NA	"b3652"
3450	"b3653"	"gltS"	NA	"glutamate:sodium symporter"	3827460	3828665	"-"	"CDS"	NA	"b3653"
3451	"b3654"	"xanP"	NA	"xanthine:H(+) symporter XanP"	3828945	3830336	"+"	"CDS"	NA	"b3654"
3452	"b3655"	"yicH"	NA	"AsmA famly protein YicH"	3830457	3832166	"+"	"CDS"	NA	"b3655"
3453	"b3656"	"yicI"	NA	"alpha-D-xyloside xylohydrolase"	3832219	3834537	"-"	"CDS"	NA	"b3656"
3454	"b3657"	"yicJ"	NA	"putative xyloside transporter YicJ"	3834547	3835929	"-"	"CDS"	NA	"b3657"
3455	"b3659"	"setC"	NA	"putative arabinose exporter"	3836953	3838137	"+"	"CDS"	NA	"b3659"
3456	"b3660"	"yicL"	NA	"putative inner membrane protein"	3838248	3839171	"+"	"CDS"	NA	"b3660"
3457	"b3661"	"nlpA"	NA	"lipoprotein-28"	3839175	3839993	"-"	"CDS"	NA	"b3661"
3458	"b4555"	"yicS"	NA	"uncharacterized protein YicS"	3840215	3840508	"+"	"CDS"	NA	"b4555"
3459	"b3662"	"nepI"	NA	"purine ribonucleoside exporter"	3840549	3841739	"-"	"CDS"	NA	"b3662"
3460	"b3663"	"yicN"	NA	"conserved protein YicN"	3841950	3842402	"-"	"CDS"	NA	"b3663"
3461	"b3664"	"adeQ"	NA	"adenine transporter"	3842455	3843789	"-"	"CDS"	NA	"b3664"
3462	"b3665"	"adeD"	NA	"adenine deaminase"	3843964	3845730	"+"	"CDS"	NA	"b3665"
3463	"b3666"	"uhpT"	NA	"hexose-6-phosphate:phosphate antiporter"	3845776	3847167	"-"	"CDS"	NA	"b3666"
3464	"b3667"	"uhpC"	NA	"inner membrane protein sensing glucose-6-phosphate"	3847305	3848624	"-"	"CDS"	NA	"b3667"
3465	"b3668"	"uhpB"	NA	"sensory histidine kinase UhpB"	3848634	3850136	"-"	"CDS"	NA	"b3668"
3466	"b3670"	"ilvN"	NA	"acetohydroxy acid synthase I subunit IlvN"	3850802	3851092	"-"	"CDS"	NA	"b3670"
3467	"b3671"	"ilvB"	NA	"acetohydroxy acid synthase I subunit IlvB"	3851096	3852784	"-"	"CDS"	NA	"b3671"
3468	"b3672"	"ivbL"	NA	"ilvBN operon leader peptide"	3852890	3852988	"-"	"CDS"	NA	"b3672"
3469	"b4618"	"tisB"	NA	"membrane-depolarizing toxin TisB"	3853553	3853642	"+"	"CDS"	NA	"b4618"
3470	"b3673"	"emrD"	NA	"multidrug efflux pump EmrD"	3853922	3855106	"+"	"CDS"	NA	"b3673"
3471	"b3675"	"yidG"	NA	"putative inner membrane protein"	3855608	3855970	"-"	"CDS"	NA	"b3675"
3472	"b3676"	"yidH"	NA	"conserved inner membrane protein YidH"	3855960	3856307	"-"	"CDS"	NA	"b3676"
3473	"b3677"	"yidI"	NA	"putative inner membrane protein"	3856415	3856864	"+"	"CDS"	NA	"b3677"
3474	"b3678"	"yidJ"	NA	"putative sulfatase/phosphatase"	3856911	3858404	"-"	"CDS"	NA	"b3678"
3475	"b3679"	"yidK"	NA	"putative transporter YidK"	3858401	3860116	"-"	"CDS"	NA	"b3679"
3476	"b3685"	"yidE"	NA	"putative transport protein YidE"	3864612	3866273	"-"	"CDS"	NA	"b3685"
3477	"b3686"	"ibpB"	NA	"small heat shock protein IbpB"	3866469	3866897	"-"	"CDS"	NA	"b3686"
3478	"b3687"	"ibpA"	NA	"small heat shock protein IbpA"	3867009	3867422	"-"	"CDS"	NA	"b3687"
3479	"b3688"	"yidQ"	NA	"DUF1375 domain-containing putative lipoprotein YidQ"	3867728	3868060	"+"	"CDS"	NA	"b3688"
3480	"b3689"	"yidR"	NA	"DUF3748 domain-containing galacturonate catabolism protein YidR"	3868062	3869309	"-"	"CDS"	NA	"b3689"
3481	"b3690"	"cbrA"	NA	"colicin M resistance protein"	3869377	3870441	"+"	"CDS"	NA	"b3690"
3482	"b3691"	"dgoT"	NA	"putative D-galactonate transporter"	3870438	3871730	"-"	"CDS"	NA	"b3691"
3483	"b4478"	"dgoD"	NA	"D-galactonate dehydratase"	3871850	3872998	"-"	"CDS"	NA	"b4478"
3484	"b4477"	"dgoA"	NA	"2-dehydro-3-deoxy-6-phosphogalactonate aldolase"	3872995	3873612	"-"	"CDS"	NA	"b4477"
3485	"b3693"	"dgoK"	NA	"2-dehydro-3-deoxygalactonokinase"	3873596	3874474	"-"	"CDS"	NA	"b3693"
3486	"b3696"	"yidX"	NA	"putative lipoprotein YidX"	3875438	3876094	"+"	"CDS"	NA	"b3696"
3487	"b3697"	"yidA"	NA	"sugar phosphatase YidA"	3876140	3876952	"-"	"CDS"	NA	"b3697"
3488	"b3698"	"yidB"	NA	"conserved protein YidB"	3877067	3877465	"-"	"CDS"	NA	"b3698"
3489	"b3699"	"gyrB"	NA	"DNA gyrase subunit B"	3877705	3880119	"-"	"CDS"	NA	"b3699"
3490	"b3700"	"recF"	NA	"DNA repair protein RecF"	3880148	3881221	"-"	"CDS"	NA	"b3700"
3491	"b3701"	"dnaN"	NA	"beta sliding clamp"	3881221	3882321	"-"	"CDS"	NA	"b3701"
3492	"b3703"	"rpmH"	NA	"50S ribosomal subunit protein L34"	3884336	3884476	"+"	"CDS"	NA	"b3703"
3493	"b3704"	"rnpA"	NA	"RNase P protein component"	3884493	3884852	"+"	"CDS"	NA	"b3704"
3494	"b4557"	"yidD"	NA	"membrane protein insertion efficiency factor"	3884816	3885073	"+"	"CDS"	NA	"b4557"
3495	"b3705"	"yidC"	NA	"membrane protein insertase YidC"	3885076	3886722	"+"	"CDS"	NA	"b3705"
3496	"b3706"	"mnmE"	NA	"5-carboxymethylaminomethyluridine-tRNA synthase GTPase subunit"	3886828	3888192	"+"	"CDS"	NA	"b3706"
3497	"b3707"	"tnaC"	NA	"tnaAB operon leader peptide"	3888435	3888509	"+"	"CDS"	NA	"b3707"
3498	"b3708"	"tnaA"	NA	"tryptophanase"	3888730	3890145	"+"	"CDS"	NA	"b3708"
3499	"b3709"	"tnaB"	NA	"tryptophan:H(+) symporter TnaB"	3890236	3891483	"+"	"CDS"	NA	"b3709"
3500	"b3710"	"mdtL"	NA	"efflux pump MdtL"	3891615	3892790	"+"	"CDS"	NA	"b3710"
3501	"b3712"	"yieE"	NA	"putative phosphopantetheinyl transferase"	3893881	3894630	"+"	"CDS"	NA	"b3712"
3502	"b3713"	"chrR"	NA	"chromate reductase"	3894652	3895218	"+"	"CDS"	NA	"b3713"
3503	"b3714"	"adeP"	NA	"adenine:H(+) symporter"	3895272	3896609	"-"	"CDS"	NA	"b3714"
3504	"b3715"	"yieH"	NA	"6-phosphogluconate phosphatase"	3896774	3897439	"+"	"CDS"	NA	"b3715"
3505	"b3716"	"cbrB"	NA	"putative inner membrane protein"	3897506	3897973	"+"	"CDS"	NA	"b3716"
3506	"b3717"	"cbrC"	NA	"UPF0167 family colicin E2 tolerance protein CbrC"	3898022	3898609	"+"	"CDS"	NA	"b3717"
3507	"b3718"	"yieK"	NA	"putative glucosamine-6-phosphate deaminase YieK"	3898671	3899393	"-"	"CDS"	NA	"b3718"
3508	"b3719"	"yieL"	NA	"putative hydrolase YieL"	3899408	3900577	"-"	"CDS"	NA	"b3719"
3509	"b3720"	"bglH"	NA	"carbohydrate-specific outer membrane porin, cryptic"	3900604	3902220	"-"	"CDS"	NA	"b3720"
3510	"b3721"	"bglB"	NA	"6-phospho-beta-glucosidase B"	3902289	3903701	"-"	"CDS"	NA	"b3721"
3511	"b3722"	"bglF"	NA	"beta-glucoside specific PTS enzyme II/BglG kinase/BglG phosphatase"	3903720	3905597	"-"	"CDS"	NA	"b3722"
3512	"b3723"	"bglG"	NA	"transcriptional antiterminator BglG"	3905731	3906567	"-"	"CDS"	NA	"b3723"
3513	"b3724"	"phoU"	NA	"negative regulator of the pho regulon"	3906853	3907578	"-"	"CDS"	NA	"b3724"
3514	"b3725"	"pstB"	NA	"phosphate ABC transporter ATP binding subunit"	3907593	3908366	"-"	"CDS"	NA	"b3725"
3515	"b3726"	"pstA"	NA	"phosphate ABC transporter membrane subunit PstA"	3908549	3909439	"-"	"CDS"	NA	"b3726"
3516	"b3727"	"pstC"	NA	"phosphate ABC transporter membrane subunit PstC"	3909439	3910398	"-"	"CDS"	NA	"b3727"
3517	"b3728"	"pstS"	NA	"phosphate ABC transporter periplasmic binding protein"	3910485	3911525	"-"	"CDS"	NA	"b3728"
3518	"b3729"	"glmS"	NA	"L-glutamine--D-fructose-6-phosphate aminotransferase"	3911839	3913668	"-"	"CDS"	NA	"b3729"
3519	"b3730"	"glmU"	NA	"fused N-acetylglucosamine-1-phosphate uridyltransferase and glucosamine-1-phosphate acetyltransferase"	3913830	3915200	"-"	"CDS"	NA	"b3730"
3520	"b3731"	"atpC"	NA	"ATP synthase F1 complex subunit epsilon"	3915553	3915972	"-"	"CDS"	NA	"b3731"
3521	"b3732"	"atpD"	NA	"ATP synthase F1 complex subunit beta"	3915993	3917375	"-"	"CDS"	NA	"b3732"
3522	"b3733"	"atpG"	NA	"ATP synthase F1 complex subunit gamma"	3917402	3918265	"-"	"CDS"	NA	"b3733"
3523	"b3734"	"atpA"	NA	"ATP synthase F1 complex subunit alpha"	3918316	3919857	"-"	"CDS"	NA	"b3734"
3524	"b3735"	"atpH"	NA	"ATP synthase F1 complex subunit delta"	3919870	3920403	"-"	"CDS"	NA	"b3735"
3525	"b3736"	"atpF"	NA	"ATP synthase Fo complex subunit b"	3920418	3920888	"-"	"CDS"	NA	"b3736"
