Consensus_bnumber	Consensus_symbol	Consensus_start	Consensus_stop	Consensus_strand	Consensus_TF	gene_synonyms	product_synonyms	RegulonDB_gene_id	RegulonDB_symbol	RegulonDB_bnumber	RegulonDB_strand	RegulonDB_type	RegulonDB_product_id	RegulonDB_product_name	RegulonDB_product_type	RegulonDB_start	RegulonDB_stop	RegulonDB_TF	refseq_id
b3656	yicI	3832219	3834537	-	0	"b3656,ECK3646,EG11685,yicI,ECK120001628"	"YicI,ECK120006104,NP_418113.1"	ECK120001628	yicI	b3656	-	NA	ECK120006104	&alpha;-D-xyloside xylohydrolase	NA	3832219	3834537	0	NP_418113.1
b3657	yicJ	3834547	3835929	-	0	"b3657,ECK3647,EG11686,yicJ,ECK120001629"	"YicJ,ECK120006105,NP_418114.4"	ECK120001629	yicJ	b3657	-	NA	ECK120006105	putative xyloside transporter YicJ	NA	3834547	3835929	0	NP_418114.4
b3658	selC	3836222	3836316	+	0	"b3658,ECK3648,EG30092,fdhC,b3658_tRNA_3836221_3836316,selC,ECK120002534"	"tRNA<sup>sec</sup>,ECK120007008"	ECK120002534	selC	b3658	+	NA	ECK120007008	tRNA-Sec(UCA)	tRNAs	3836222	3836316	0	NA
b4653	yicT	3836425	3836556	+	0	"b4653,ECK4456,erhM,G0-16669,rhuM,NA,yicT,ECK125240982"	"b4653,NA"	ECK125240982	yicT	b4653	+	Pseudo Gene	NA	NA	NA	3836425	3836556	0	NA
b3659	setC	3836953	3838137	+	0	"b3659,ECK3649,EG11687,yicK,setC,ECK120001630"	"SetC,YicK,YicK MFS Transporter,ECK120006106,NP_418115.1"	ECK120001630	setC	b3659	+	NA	ECK120006106	putative arabinose exporter	NA	3836953	3838137	0	NP_418115.1
b3660	yicL	3838248	3839171	+	0	"b3660,ECK3650,EG11688,yicL,ECK120001631"	"putative inner membrane protein,YicL,ECK120006107,NP_418116.1"	ECK120001631	yicL	b3660	+	NA	ECK120006107	putative transporter YicL	NA	3838248	3839171	0	NP_418116.1
b4797	yicU	3838642	3838701	-	0	"b4797,ECK4654,G0-17043,yicU,ECK125286389"	"YicU,ECK125286444"	ECK125286389	yicU	b4797	-	NA	ECK125286444	protein YicU	NA	3838642	3838701	0	NA
b3661	nlpA	3839175	3839993	-	0	"b3661,ECK3651,EG10657,nlpA,ECK120000650"	"NlpA,ECK120005126,NP_418117.1"	ECK120000650	nlpA	b3661	-	NA	ECK120005126	lipoprotein-28	NA	3839175	3839993	0	NP_418117.1
b4555	yicS	3840215	3840508	+	0	"b4555,ECK3652,G0-10469,yicS,ECK120016321"	"YicS,ECK120016394,YP_588471.1"	ECK120016321	yicS	b4555	+	NA	ECK120016394	uncharacterized protein YicS	NA	3840215	3840508	0	YP_588471.1
b3662	nepI	3840549	3841739	-	0	"b3662,ECK3653,EG11689,yicM,nepI,ECK120001632"	"NepI,NepI MFS ribonucleoside transporter,YicM,ECK120006108,NP_418118.2"	ECK120001632	nepI	b3662	-	NA	ECK120006108	purine ribonucleoside exporter	NA	3840549	3841739	0	NP_418118.2
b3663	yicN	3841950	3842402	-	0	"b3663,ECK3654,EG11690,yicN,ECK120001633"	"YicN,ECK120006109,NP_418119.2"	ECK120001633	yicN	b3663	-	NA	ECK120006109	DUF1198 domain-containing protein YicN	NA	3841950	3842402	0	NP_418119.2
b3664	adeQ	3842455	3843789	-	0	"b3664,ECK3655,EG11691,yicO,adeQ,ECK120001634"	"AdeQ,YicO,ECK120006110,NP_418120.2"	ECK120001634	adeQ	b3664	-	NA	ECK120006110	adenine transporter	NA	3842455	3843789	0	NP_418120.2
b3665	adeD	3843964	3845730	+	0	"ade,adeC(B.s.),adu,b3665,ECK3656,EG11692,yicP,adeD,ECK120001635"	"Ade,AdeD,Adu,cryptic adenine deaminase,YicP,ECK120006111,NP_418121.1"	ECK120001635	adeD	b3665	+	NA	ECK120006111	adenine deaminase	NA	3843964	3845730	0	NP_418121.1
ECK125289076	uhpT3'	3845730	3845995	-	0	"ECK125289076,NA,uhpT3'"	"ECK125289076,ECK125289077"	ECK125289076	uhpT3'	NA	-	NA	ECK125289077	UhpU	small RNA	3845730	3845995	0	NA
b3666	uhpT	3845776	3847167	-	0	"b3666,ECK3657,EG11054,uhpT,ECK120001043"	"UhpT,UhpT-hexose phosphate MFS transporter,ECK120005519,NP_418122.1"	ECK120001043	uhpT	b3666	-	NA	ECK120005519	hexose-6-phosphate:phosphate antiporter	NA	3845776	3847167	0	NP_418122.1
b3667	uhpC	3847305	3848624	-	0	"b3667,ECK3658,EG11053,uhpC,ECK120001042"	"regulatory protein UhpC,UhpC,unmodified regulatory protein UhpC,ECK120005518,NP_418123.2"	ECK120001042	uhpC	b3667	-	NA	ECK120005518	inner membrane protein sensing glucose-6-phosphate	NA	3847305	3848624	0	NP_418123.2
b3668	uhpB	3848634	3850136	-	0	"b3668,ECK3659,EG11052,uhpB,ECK120001041"	"UhpB,ECK120005517,NP_418124.4"	ECK120001041	uhpB	b3668	-	NA	ECK120005517	sensory histidine kinase UhpB	NA	3848634	3850136	0	NP_418124.4
b3669	uhpA	3850136	3850726	-	1	"b3669,ECK3660,EG11051,uhpA,ECK120001040"	"UhpA,UhpA response regulator,ECK120005516,NP_418125.1"	ECK120001040	uhpA	b3669	-	NA	ECK120005516	DNA-binding transcriptional activator UhpA	NA	3850136	3850726	1	NP_418125.1
b3670	ilvN	3850802	3851092	-	0	"b3670,ECK3661,EG10502,ilvN,ECK120000495"	"acetohydroxy acid synthase I, small subunit,IlvN,ECK120004971,NP_418126.1"	ECK120000495	ilvN	b3670	-	NA	ECK120004971	acetohydroxy acid synthase I subunit IlvN	NA	3850802	3851092	0	NP_418126.1
b3671	ilvB	3851096	3852784	-	0	"b3671,ECK3662,EG10494,ilvB,ECK120000487"	"acetohydroxy acid synthase I, large subunit,IlvB,ECK120004963,NP_418127.1"	ECK120000487	ilvB	b3671	-	NA	ECK120004963	acetohydroxy acid synthase I subunit IlvB	NA	3851096	3852784	0	NP_418127.1
b3672	ivbL	3852890	3852988	-	0	"b3672,ECK3663,EG11275,ivbL,ECK120001249"	"IvbL,ECK120005725,NP_418128.1"	ECK120001249	ivbL	b3672	-	NA	ECK120005725	<i>ilvBN</i> operon leader peptide	NA	3852890	3852988	0	NP_418128.1
b4616	istR	3853118	3853257	-	0	"b4616,ECK4425,G0-10201,istR-1,istR-2,psrA19,b4616_ncRNA_3853117_3853257,istR,ECK120015142,istR-1"	"IstR-1,IstR-2,PsrA19,ECK120015146,ECK120015147"	ECK120015142	istR	b4616	-	NA	"ECK120015146,ECK120015147"	"small regulatory RNA IstR-1,small RNA IstR-2"	small RNA	3853118	3853257	0	NA
b4617	tisA	3853443	3853556	+	0	"b4617,ECK4426,G0-9961,ysdA,NA,tisA,ECK120002668"	"b4617,NA"	ECK120002668	tisA	b4617	+	Phantom Gene	NA	NA	NA	3853443	3853556	0	NA
b4618	tisB	3853553	3853642	+	0	"b4618,ECK4427,G0-9962,ysdB,tisB,ECK120002669"	"TisB,toxic peptide TisB,YsdB,ECK120007143,YP_001165331.1"	ECK120002669	tisB	b4618	+	NA	ECK120007143	membrane-depolarizing toxin TisB	NA	3853553	3853642	0	YP_001165331.1
b4798	ysdE	3853766	3853840	-	0	"b4798,ECK4655,G0-17044,ysdE,ECK125286401"	"YsdE,ECK125286438"	ECK125286401	ysdE	b4798	-	NA	ECK125286438	protein YsdE	NA	3853766	3853840	0	NA
b3673	emrD	3853922	3855106	+	0	"b3673,ECK3664,EG11693,yicQ,emrD,ECK120001636"	"EmrD,YicQ,ECK120006112,NP_418129.2"	ECK120001636	emrD	b3673	+	NA	ECK120006112	multidrug efflux pump EmrD	NA	3853922	3855106	0	NP_418129.2
b3674	yidF	3855114	3855611	-	0	"b3674,ECK3665,EG11694,yidF,ECK120001637"	"putative DNA-binding transcriptional regulator,YidF,ECK120006113,NP_418130.1"	ECK120001637	yidF	b3674	-	NA	ECK120006113	uncharacterized protein YidF	NA	3855114	3855611	0	NP_418130.1
b3675	yidG	3855608	3855970	-	0	"b3675,ECK3666,EG11695,yidG,ECK120001638"	"YidG,ECK120006114,NP_418131.1"	ECK120001638	yidG	b3675	-	NA	ECK120006114	inner membrane protein YidG	NA	3855608	3855970	0	NP_418131.1
b3676	yidH	3855960	3856307	-	0	"b3676,ECK3667,EG11696,yidH,ECK120001639"	"YidH,ECK120006115,NP_418132.1"	ECK120001639	yidH	b3676	-	NA	ECK120006115	DUF202 domain-containing inner membrane protein YidH	NA	3855960	3856307	0	NP_418132.1
b3677	yidI	3856415	3856864	+	0	"b3677,ECK3668,EG11697,yidI,ECK120001640"	"YidI,ECK120006116,NP_418133.1"	ECK120001640	yidI	b3677	+	NA	ECK120006116	putative inner membrane protein	NA	3856415	3856864	0	NP_418133.1
b3678	yidJ	3856911	3858404	-	0	"b3678,ECK3669,EG11705,yidJ,ECK120001648"	"YidJ,ECK120006124,NP_418134.1"	ECK120001648	yidJ	b3678	-	NA	ECK120006124	putative sulfatase/phosphatase YidJ	NA	3856911	3858404	0	NP_418134.1
b3679	yidK	3858401	3860116	-	0	"b3679,ECK3670,EG11706,yidK,ECK120001649"	"YidK,ECK120006125,NP_418135.1"	ECK120001649	yidK	b3679	-	NA	ECK120006125	putative transporter YidK	NA	3858401	3860116	0	NP_418135.1
b3680	yidL	3860283	3861176	+	0	"b3680,ECK3671,EG11707,yidL,ECK120001650"	"putative ARAC-type regulatory protein,YidL,ECK120006126,NP_418136.2"	ECK120001650	yidL	b3680	+	NA	ECK120006126	putative DNA-binding transcriptional regulator YidL	NA	3860283	3861176	0	NP_418136.2
b4556	ysdC	3861173	3861349	-	0	"b4556,ECK3672,G0-10564,NA,ysdC,ECK120026455"	"b4556,NA"	ECK120026455	ysdC	b4556	-	Pseudo Gene	NA	NA	NA	3861173	3861349	0	NA
b3681	glvG	3861349	3861987	-	0	"b3681,ECK3673,EG11708,yidM,glvG,ECK120001651"	"GlvG,YidM,ECK120006127"	ECK120001651	glvG	b3681	-	NA	ECK120006127	putative inactive phospho-glucosidase	NA	3861349	3861987	0	NA
b3682	glvB	3861987	3862472	-	0	"b3682,ECK3674,EG11709,yidN,yidO,glvB,ECK120001652"	"GlvB,YidN,YidO,ECK120006128"	ECK120001652	glvB	b3682	-	NA	ECK120006128	putative PTS enzyme II component GlvB	NA	3861987	3862472	0	NA
b3683	glvC	3862497	3863603	-	0	"b3683,ECK3675,EG11710,ptiC,glvC,ECK120001653"	"GlvC,PtiC,ECK120006129"	ECK120001653	glvC	b3683	-	NA	ECK120006129	putative PTS enzyme II component GlvC	NA	3862497	3863603	0	NA
b3684	yidP	3863899	3864615	+	0	"b3684,ECK3676,EG11711,yidP,ECK120001654"	"YidP,ECK120006130,NP_418139.1"	ECK120001654	yidP	b3684	+	NA	ECK120006130	putative DNA-binding transcriptional regulator YidP	NA	3863899	3864615	0	NP_418139.1
b3685	yidE	3864612	3866273	-	0	"b3685,ECK3677,EG11536,yibE,yidE,ECK120001490"	"YibE,YidE,ECK120005966,NP_418140.4"	ECK120001490	yidE	b3685	-	NA	ECK120005966	putative transport protein YidE	NA	3864612	3866273	0	NP_418140.4
b3686	ibpB	3866469	3866897	-	0	"b3686,ECK3678,EG11535,hslS,htpE,ibpB,ECK120001489"	"HslS,HtpE,IbpB,ECK120005965,NP_418141.2"	ECK120001489	ibpB	b3686	-	NA	ECK120005965	small heat shock protein IbpB	NA	3866469	3866897	0	NP_418141.2
b3687	ibpA	3867009	3867422	-	0	"b3687,ECK3679,EG11534,hslT,htpN,ibpA,ECK120001488"	"HslT,HtpN,IbpA,ECK120005964,NP_418142.1"	ECK120001488	ibpA	b3687	-	NA	ECK120005964	small heat shock protein IbpA	NA	3867009	3867422	0	NP_418142.1
b3688	yidQ	3867728	3868060	+	0	"b3688,ecfI,ECK3680,EG11712,yidQ,ECK120001655"	"EcfI,YidQ,ECK120006131,NP_418143.2"	ECK120001655	yidQ	b3688	+	NA	ECK120006131	DUF1375 domain-containing putative lipoprotein YidQ	NA	3867728	3868060	0	NP_418143.2
b3689	yidR	3868062	3869309	-	0	"b3689,ECK3681,EG11713,yidR,ECK120001656"	"YidR,ECK120006132,NP_418144.3"	ECK120001656	yidR	b3689	-	NA	ECK120006132	DUF3748 domain-containing galacturonate catabolism protein YidR	NA	3868062	3869309	0	NP_418144.3
b3690	cbrA	3869377	3870441	+	0	"b3690,ECK3682,EG11714,yidS,cbrA,ECK120001657"	"CbrA,YidS,ECK120006133,NP_418145.2"	ECK120001657	cbrA	b3690	+	NA	ECK120006133	colicin M resistance protein	NA	3869377	3870441	0	NP_418145.2
b3691	dgoT	3870438	3871730	-	0	"b3691,ECK3683,EG20053,yidT,dgoT,ECK120002440"	"DgoT,YidT,ECK120006915,NP_418146.4"	ECK120002440	dgoT	b3691	-	NA	ECK120006915	D-galactonate:H<sup>+</sup> symporter	NA	3870438	3871730	0	NP_418146.4
b4478	dgoD	3871850	3872998	-	0	"b3692,b4478,ECK3684,GB4478,yidU,dgoD,ECK120004465"	"DgoD,YidU,ECK120008901,YP_026237.1"	ECK120004465	dgoD	b4478	-	NA	ECK120008901	D-galactonate dehydratase	NA	3871850	3872998	0	YP_026237.1
b4477	dgoA	3872995	3873612	-	0	"b3692,b4477,ECK3685,EG20049,yidU,dgoA,ECK120002438"	"DgoA,YidU,ECK120006913,YP_026238.1"	ECK120002438	dgoA	b4477	-	NA	ECK120006913	2-dehydro-3-deoxy-6-phosphogalactonate aldolase	NA	3872995	3873612	0	YP_026238.1
b3693	dgoK	3873596	3874474	-	0	"b3693,ECK3686,EG20051,yidV,dgoK,ECK120002439"	"DgoK,YidV,ECK120006914,NP_418148.1"	ECK120002439	dgoK	b3693	-	NA	ECK120006914	2-dehydro-3-deoxygalactonokinase	NA	3873596	3874474	0	NP_418148.1
b4479	dgoR	3874471	3875160	-	1	"b3694,b3695,b4479,ECK3687,G7789,yidW,dgoR,ECK120004308"	"DgoR,YidW,ECK120008747,YP_026239.1"	ECK120004308	dgoR	b4479	-	NA	ECK120008747	DNA-binding transcriptional regulator DgoR	NA	3874471	3875160	1	YP_026239.1
b3696	yidX	3875438	3876094	+	0	"b3696,ECK3688,EG11719,yidX,ECK120001658"	"YidX,ECK120006134,YP_026240.1"	ECK120001658	yidX	b3696	+	NA	ECK120006134	putative lipoprotein YidX	NA	3875438	3876094	0	YP_026240.1
b3697	yidA	3876140	3876952	-	0	"b3697,ECK3689,EG11195,yidA,ECK120001176"	"HAD13,YidA,ECK120005652,NP_418152.1"	ECK120001176	yidA	b3697	-	NA	ECK120005652	sugar phosphatase YidA	NA	3876140	3876952	0	NP_418152.1
b3698	yidB	3877067	3877465	-	0	"b3698,ECK3690,EG11196,yidB,ECK120001177"	"YidB,ECK120005653,NP_418153.4"	ECK120001177	yidB	b3698	-	NA	ECK120005653	DUF937 domain-containing protein YidB	NA	3877067	3877465	0	NP_418153.4
b3699	gyrB	3877705	3880119	-	0	"acrB,b3699,cou,ECK3691,EG10424,himB,hisU,hopA,nalC,parA,pcbA,pcpA,gyrB,ECK120000417"	"AcrB,Cou,GyrB,HimB,HisU,HopA,NalC,ParA,PcbA,PcpA,ECK120004893,YP_026241.1"	ECK120000417	gyrB	b3699	-	NA	ECK120004893	DNA gyrase subunit B	NA	3877705	3880119	0	YP_026241.1
b3700	recF	3880148	3881221	-	0	"b3700,ECK3692,EG10828,uvrF,recF,ECK120000819"	"RecF,UvrF,ECK120005295,NP_418155.1"	ECK120000819	recF	b3700	-	NA	ECK120005295	DNA repair protein RecF	NA	3880148	3881221	0	NP_418155.1
b3701	dnaN	3881221	3882321	-	0	"b3701,ECK3693,EG10242,dnaN,ECK120000236"	"DNA polymerase III subunit &beta;,DnaN,ECK120004712,NP_418156.1"	ECK120000236	dnaN	b3701	-	NA	ECK120004712	&beta; sliding clamp	NA	3881221	3882321	0	NP_418156.1
b3702	dnaA	3882326	3883729	-	1	"b3702,ECK3694,EG10235,dnaA,ECK120000229"	"chromosomal replication initiator protein/DNA-binding transcriptional dual regulator DnaA,DnaA,ECK120004705,NP_418157.1"	ECK120000229	dnaA	b3702	-	NA	ECK120004705	chromosomal replication initiator protein DnaA	NA	3882326	3883729	1	NP_418157.1
b4757	ysdD	3884026	3884106	+	0	"b4757,ECK4614,G0-16751,ysdD,ECK125276508"	"YsdD,ECK125276554"	ECK125276508	ysdD	b4757	+	NA	ECK125276554	protein YsdD	NA	3884026	3884106	0	NA
b3703	rpmH	3884336	3884476	+	0	"b3703,ECK3695,EG10892,rimA,ssaF,rpmH,ECK120000883"	"RimA,RpmH,SsaF,ECK120005359,NP_418158.1"	ECK120000883	rpmH	b3703	+	NA	ECK120005359	50S ribosomal subunit protein L34	NA	3884336	3884476	0	NP_418158.1
b3704	rnpA	3884493	3884852	+	0	"b3704,ECK3696,EG10862,rnpA,ECK120000853"	"C5 protein,ribonuclease P protein component,RNase P protein subunit,RnpA,ECK120005329,NP_418159.1"	ECK120000853	rnpA	b3704	+	NA	ECK120005329	RNase P protein component	NA	3884493	3884852	0	NP_418159.1
b4557	yidD	3884816	3885073	+	0	"b4557,ECK3697,G0-10470,yidD,ECK120016322"	"YidD,ECK120016395,YP_588472.1"	ECK120016322	yidD	b4557	+	NA	ECK120016395	membrane protein insertion efficiency factor	NA	3884816	3885073	0	YP_588472.1
b3705	yidC	3885076	3886722	+	0	"b3705,ECK3698,EG11197,yidC,ECK120001178"	"YidC,ECK120005654,NP_418161.1"	ECK120001178	yidC	b3705	+	NA	ECK120005654	membrane protein insertase YidC	NA	3885076	3886722	0	NP_418161.1
b3706	mnmE	3886828	3888192	+	0	"b3706,ECK3699,EG10997,thdF,trmE,mnmE,ECK120000986"	"5-carboxymethylaminomethyluridine-tRNA synthase subunit MnmE,GTPase, involved in modification of U34 in tRNA,MnmE,ThdF,TrmE,ECK120005462,NP_418162.1"	ECK120000986	mnmE	b3706	+	NA	ECK120005462	5-carboxymethylaminomethyluridine-tRNA synthase GTPase subunit	NA	3886828	3888192	0	NP_418162.1
b3707	tnaC	3888435	3888509	+	0	"b3707,ECK3700,EG11276,tnaL,tnaC,ECK120001250"	"TnaC,TnaL,tryptophanase leader peptide,tryptophanase operon leader peptide,ECK120005726,NP_418163.1"	ECK120001250	tnaC	b3707	+	NA	ECK120005726	<i>tnaAB</i> operon leader peptide	NA	3888435	3888509	0	NP_418163.1
b3708	tnaA	3888730	3890145	+	0	"b3708,ECK3701,EG11005,ind,tnaR,tnaA,ECK120000994"	"Ind,TnaA,TnaR,ECK120005470,NP_418164.4"	ECK120000994	tnaA	b3708	+	NA	ECK120005470	tryptophanase	NA	3888730	3890145	0	NP_418164.4
b3709	tnaB	3890236	3891483	+	0	"b3709,ECK3702,EG11006,tnaP,trpP,tnaB,ECK120000995"	"TnaB,TnaB tryptophan ArAAP transporter,TnaP,TrpP,ECK120005471,NP_418165.1"	ECK120000995	tnaB	b3709	+	NA	ECK120005471	tryptophan:H<sup>+</sup> symporter TnaB	NA	3890236	3891483	0	NP_418165.1
b3710	mdtL	3891615	3892790	+	0	"b3710,ECK3703,EG11720,yidY,mdtL,ECK120001659"	"MdtL,MdtL multidrug efflux pump,YidY,YidY drug MFS transporter,ECK120006135,NP_418166.1"	ECK120001659	mdtL	b3710	+	NA	ECK120006135	efflux pump MdtL	NA	3891615	3892790	0	NP_418166.1
b3711	yidZ	3892765	3893724	+	0	"b3711,ECK3704,EG11721,yidZ,ECK120001660"	"YidZ,ECK120006136,NP_418167.1"	ECK120001660	yidZ	b3711	+	NA	ECK120006136	putative LysR-type transcriptional regulator YidZ	NA	3892765	3893724	0	NP_418167.1
b3712	yieE	3893881	3894630	+	0	"b3712,ECK3705,EG11722,yieE,ECK120001661"	"YieE,ECK120006137,NP_418168.2"	ECK120001661	yieE	b3712	+	NA	ECK120006137	putative phosphopantetheinyl transferase	NA	3893881	3894630	0	NP_418168.2
b3713	yieF	3894652	3895218	+	0	"b3713,chrR,ECK3706,EG11723,yieF,ECK120001662"	"ChrR,YieF,ECK120006138,NP_418169.1"	ECK120001662	yieF	b3713	+	NA	ECK120006138	chromate reductase	NA	3894652	3895218	0	NP_418169.1
b3714	adeP	3895272	3896609	-	0	"b3714,ECK3707,EG11724,purP,yieG,adeP,ECK120001663"	"AdeP,PurP,YieG,ECK120006139,NP_418170.1"	ECK120001663	adeP	b3714	-	NA	ECK120006139	adenine:H<sup>+</sup> symporter	NA	3895272	3896609	0	NP_418170.1
b3715	yieH	3896774	3897439	+	0	"b3715,ECK3708,EG11725,yieH,ECK120001664"	"YieH,ECK120006140,NP_418171.1"	ECK120001664	yieH	b3715	+	NA	ECK120006140	6-phosphogluconate phosphatase	NA	3896774	3897439	0	NP_418171.1
b3716	cbrB	3897506	3897973	+	0	"b3716,ECK3709,EG11726,yieI,cbrB,ECK120001665"	"CbrB,YieI,ECK120006141,NP_418172.1"	ECK120001665	cbrB	b3716	+	NA	ECK120006141	putative inner membrane protein	NA	3897506	3897973	0	NP_418172.1
b3717	cbrC	3898022	3898609	+	0	"b3717,ECK3710,EG11727,yieJ,cbrC,ECK120001666"	"CbrC,YieJ,ECK120006142,NP_418173.1"	ECK120001666	cbrC	b3717	+	NA	ECK120006142	UPF0167 family colicin E2 tolerance protein CbrC	NA	3898022	3898609	0	NP_418173.1
b3718	yieK	3898671	3899393	-	0	"b3718,ECK3711,EG11728,yieK,ECK120001667"	"YieK,ECK120006143,YP_026242.1"	ECK120001667	yieK	b3718	-	NA	ECK120006143	putative glucosamine-6-phosphate deaminase YieK	NA	3898671	3899393	0	YP_026242.1
b3719	yieL	3899408	3900577	-	0	"b3719,ECK3712,EG11729,yieL,ECK120001668"	"putative xylanase,YieL,ECK120006144,NP_418175.3"	ECK120001668	yieL	b3719	-	NA	ECK120006144	putative hydrolase YieL	NA	3899408	3900577	0	NP_418175.3
b3720	bglH	3900604	3902220	-	0	"b3720,ECK3713,EG11364,yieC,bglH,ECK120001333"	"BglH,YieC,ECK120005809,NP_418176.1"	ECK120001333	bglH	b3720	-	NA	ECK120005809	"carbohydrate-specific outer membrane porin, cryptic"	NA	3900604	3902220	0	NP_418176.1
b3721	bglB	3902289	3903701	-	0	"b3721,blgA,ECK3714,EG10114,bglB,ECK120000110"	"6-phospho-&beta;-glucosidase B, cryptic,6-phospho-b-D-glucosyl-(1,4)-D-glucose glucohydrolase,6-phospho-b-glucosidase,BglB,BlgA,phospho-&beta;-glucosidase B,phospho-b-glucosidase,phosphocellobiase,ECK120004586,NP_418177.1"	ECK120000110	bglB	b3721	-	NA	ECK120004586	6-phospho-&beta;-glucosidase B	NA	3902289	3903701	0	NP_418177.1
b3722	bglF	3903720	3905597	-	0	"b3722,bglS,ECK3715,EG10115,bglF,ECK120000111"	"BglF,BglS,ECK120004587,NP_418178.1"	ECK120000111	bglF	b3722	-	NA	ECK120004587	&beta;-glucoside specific PTS enzyme II / BglG kinase / BglG phosphatase	NA	3903720	3905597	0	NP_418178.1
b3723	bglG	3905731	3906567	-	0	"b3723,bglC,ECK3716,EG10116,bglG,ECK120000112"	"BglC,BglG,ECK120004588,NP_418179.1"	ECK120000112	bglG	b3723	-	NA	ECK120004588	transcriptional antiterminator BglG	NA	3905731	3906567	0	NP_418179.1
b3724	phoU	3906853	3907578	-	0	"b3724,ECK3717,EG10735,phoT,pst,phoU,ECK120000726"	"PhoT,PhoU,Pst,ECK120005202,NP_418180.1"	ECK120000726	phoU	b3724	-	NA	ECK120005202	negative regulator of the <i>pho</i> regulon	NA	3906853	3907578	0	NP_418180.1
b3725	pstB	3907593	3908366	-	0	"b3725,ECK3718,EG10783,phoT,pstB,ECK120000774"	"PhoT,PstB,ECK120005250,NP_418181.1"	ECK120000774	pstB	b3725	-	NA	ECK120005250	phosphate ABC transporter ATP binding subunit	NA	3907593	3908366	0	NP_418181.1
b3726	pstA	3908549	3909439	-	0	"b3726,ECK3719,EG10782,phoR2,phoR2b,phoT,R2pho,pstA,ECK120000773"	"PhoT,PstA,ECK120005249,NP_418182.1"	ECK120000773	pstA	b3726	-	NA	ECK120005249	phosphate ABC transporter membrane subunit PstA	NA	3908549	3909439	0	NP_418182.1
b3727	pstC	3909439	3910398	-	0	"b3727,ECK3720,EG10784,phoW,pstC,ECK120000775"	"PhoW,PstC,ECK120005251,NP_418183.1"	ECK120000775	pstC	b3727	-	NA	ECK120005251	phosphate ABC transporter membrane subunit PstC	NA	3909439	3910398	0	NP_418183.1
b3728	pstS	3910485	3911525	-	0	"b3728,ECK3721,EG10734,nmpA,phoR2a,phoS,R2pho,T,pstS,ECK120000725"	"NmpA,PhoS,PiBP,PstS,ECK120005201,NP_418184.1"	ECK120000725	pstS	b3728	-	NA	ECK120005201	phosphate ABC transporter periplasmic binding protein	NA	3910485	3911525	0	NP_418184.1
b3729	glmS	3911839	3913668	-	0	"b3729,ECK3722,EG10382,glmS,ECK120000375"	"GlmS,ECK120004851,NP_418185.1"	ECK120000375	glmS	b3729	-	NA	ECK120004851	L-glutamine&mdash;D-fructose-6-phosphate aminotransferase	NA	3911839	3913668	0	NP_418185.1
b3730	glmU	3913830	3915200	-	0	"b3730,ECK3723,EG11198,yieA,glmU,ECK120001179"	"GlmU,YieA,ECK120005655,NP_418186.1"	ECK120001179	glmU	b3730	-	NA	ECK120005655	fused N-acetylglucosamine-1-phosphate uridyltransferase and glucosamine-1-phosphate acetyltransferase	NA	3913830	3915200	0	NP_418186.1
b3731	atpC	3915553	3915972	-	0	"b3731,ECK3724,EG10100,papG,uncC,atpC,ECK120000096"	"ATP synthase F1 complex - epsilon subunit,AtpC,PapG,UncC,ECK120004572,NP_418187.1"	ECK120000096	atpC	b3731	-	NA	ECK120004572	ATP synthase F<sub>1</sub> complex subunit &epsilon;	NA	3915553	3915972	0	NP_418187.1
b3732	atpD	3915993	3917375	-	0	"b3732,ECK3725,EG10101,papB,uncD,atpD,ECK120000097"	"ATP synthase F<sub>1</sub> complex - beta subunit,AtpD,PapB,UncD,ECK120004573,NP_418188.1"	ECK120000097	atpD	b3732	-	NA	ECK120004573	ATP synthase F<sub>1</sub> complex subunit &beta;	NA	3915993	3917375	0	NP_418188.1
b3733	atpG	3917402	3918265	-	0	"b3733,ECK3726,EG10104,papC,uncG,atpG,ECK120000100"	"ATP synthase F<sub>1</sub> complex - gamma subunit,AtpG,PapC,UncG,ECK120004576,NP_418189.1"	ECK120000100	atpG	b3733	-	NA	ECK120004576	ATP synthase F<sub>1</sub> complex subunit &gamma;	NA	3917402	3918265	0	NP_418189.1
b3734	atpA	3918316	3919857	-	0	"b3734,ECK3727,EG10098,papA,uncA,atpA,ECK120000094"	"AtpA,PapA,UncA,ECK120004570,NP_418190.1"	ECK120000094	atpA	b3734	-	NA	ECK120004570	ATP synthase F<sub>1</sub> complex subunit &alpha;	NA	3918316	3919857	0	NP_418190.1
b3735	atpH	3919870	3920403	-	0	"b3735,ECK3728,EG10105,papE,uncH,atpH,ECK120000101"	"ATP synthase F<sub>1</sub> complex - delta subunit,AtpH,PapE,UncH,ECK120004577,NP_418191.1"	ECK120000101	atpH	b3735	-	NA	ECK120004577	ATP synthase F<sub>1</sub> complex subunit &delta;	NA	3919870	3920403	0	NP_418191.1
b3736	atpF	3920418	3920888	-	0	"b3736,ECK3729,EG10103,papF,uncF,atpF,ECK120000099"	"ATP synthase F<sub>o</sub> complex - b subunit,AtpF,B chain,PapF,UncF,ECK120004575,NP_418192.1"	ECK120000099	atpF	b3736	-	NA	ECK120004575	ATP synthase F<sub>0</sub> complex subunit b	NA	3920418	3920888	0	NP_418192.1
